date,kospi_open,kospi_close,kosdaq_open,kosdaq_close
2025-06-09,2841.56,2855.77,759.27,764.21
2025-06-10,2872.62,2871.85,767.91,771.2
2025-06-11,2887.32,2907.04,775.43,786.29
2025-06-12,2909.99,2920.03,786.27,789.45
2025-06-13,2930.57,2894.62,792.68,768.86
2025-06-16,2903.5,2946.66,767.64,777.26
2025-06-17,2959.93,2950.3,780.08,775.65
2025-06-18,2933.63,2972.19,772.6,779.73
2025-06-19,2989.56,2977.74,783.29,782.51
2025-06-20,2986.52,3021.84,783.63,791.53
2025-06-23,2992.2,3014.47,779.67,784.79
2025-06-24,3061.14,3103.64,796.06,800.93
2025-06-25,3127.79,3108.25,802.92,798.21
2025-06-26,3108.34,3079.56,799.21,787.95
2025-06-27,3077.87,3055.94,789.93,781.56
2025-06-30,3072.75,3071.7,783.53,781.5
2025-07-01,3089.64,3089.65,783.65,783.67
2025-07-02,3083.82,3075.06,784.73,782.17
2025-07-03,3100.33,3116.27,785.77,793.33
2025-07-04,3122.28,3054.28,792.65,775.8
2025-07-07,3044.78,3059.47,774.19,778.46
2025-07-08,3071.74,3114.95,779.28,784.24
2025-07-09,3123.22,3133.74,786.33,790.36
2025-07-10,3144.14,3183.23,794.64,797.7
2025-07-11,3186.35,3175.77,799.96,800.47
2025-07-14,3175.59,3202.03,802.73,799.37
2025-07-15,3194.82,3215.28,800.24,812.88
2025-07-16,3207.48,3186.38,810.09,812.23
2025-07-17,3201.42,3192.29,814.92,818.27
2025-07-18,3200.44,3188.07,821.58,820.67
2025-07-21,3191.11,3210.81,819.84,821.69
2025-07-22,3210.12,3169.94,822.33,812.97
2025-07-23,3189.65,3183.77,815.88,813.56
2025-07-24,3209.43,3190.45,816.94,809.89
2025-07-25,3184.37,3196.05,809.43,806.95
2025-07-28,3228.61,3209.52,811.26,804.4
2025-07-29,3192.17,3230.57,803.38,804.45
2025-07-30,3233.31,3254.47,804.76,803.67
2025-07-31,3275.78,3245.44,806.21,805.24
2025-08-01,3210.32,3119.41,796.24,772.79
2025-08-04,3114.27,3147.75,773.83,784.06
2025-08-05,3187.15,3198.0,791.94,798.6
2025-08-06,3182.06,3198.14,796.48,803.49
2025-08-07,3214.81,3227.68,805.27,805.81
2025-08-08,3220.58,3210.01,806.43,809.27
2025-08-11,3220.72,3206.77,810.51,811.85
2025-08-12,3209.75,3189.91,813.12,807.19
2025-08-13,3225.4,3224.37,816.54,814.1
2025-08-14,3226.52,3225.66,814.48,815.26
2025-08-18,3202.63,3177.28,811.52,798.05
2025-08-19,3185.04,3151.56,799.54,787.96
2025-08-20,3121.52,3130.09,778.63,777.61
2025-08-21,3140.71,3141.74,780.32,777.24
2025-08-22,3165.41,3168.73,778.77,782.51
2025-08-25,3195.14,3209.86,791.66,798.02
2025-08-26,3199.92,3179.36,793.99,801.66
2025-08-27,3185.87,3187.16,802.57,801.72
2025-08-28,3175.33,3196.32,800.49,798.43
2025-08-29,3208.8,3186.01,801.96,796.91
2025-09-01,3164.58,3142.93,795.3,785.0
2025-09-02,3155.73,3172.35,789.35,794.0
2025-09-03,3177.75,3184.42,793.28,796.81
2025-09-04,3188.84,3200.83,799.53,805.42
2025-09-05,3208.83,3205.12,809.09,811.4
2025-09-08,3209.81,3219.59,815.9,818.6
2025-09-09,3231.31,3260.05,820.75,824.82
2025-09-10,3272.2,3314.53,828.4,833.0
2025-09-11,3336.6,3344.2,834.68,834.76
2025-09-12,3374.65,3395.54,839.73,847.08
2025-09-15,3407.78,3407.31,849.64,852.69
2025-09-16,3421.13,3449.62,854.4,851.84
2025-09-17,3433.83,3413.4,850.15,845.53
