date,night_close,reg_open,reg_high,reg_low,reg_close,reg_vol,open_int,k200_open,k200_close,kospi_close
2025-06-09,,378.5,385.05,378.4,382.55,278745.0,232130.0,381.25,382.99,2855.77
2025-06-10,384.7,385.9,386.95,381.45,384.5,256637.0,177160.0,385.4,384.79,2871.85
2025-06-11,386.3,385.5,390.45,385.15,390.1,220908.0,116659.0,387.12,389.79,2907.04
2025-06-12,391.1,390.05,393.3,388.75,390.3,132366.0,0.0,390.11,390.62,2920.03
2025-06-13,392.65,393.0,394.3,385.8,387.8,264109.0,226149.0,392.55,387.3,2894.62
2025-06-16,388.95,390.2,395.3,386.55,394.2,253587.0,228633.0,388.7,394.16,2946.66
2025-06-17,397.25,397.25,403.35,393.3,396.0,311420.0,226193.0,395.82,395.18,2950.3
2025-06-18,393.7,393.7,400.9,392.15,399.4,248362.0,231212.0,392.64,398.86,2972.19
2025-06-19,399.2,400.4,402.95,396.55,399.25,239999.0,227084.0,401.62,399.29,2977.74
2025-06-20,399.15,400.0,405.85,399.45,405.15,225471.0,233191.0,400.69,405.32,3021.84
2025-06-23,402.0,401.05,405.5,397.75,404.55,257665.0,236582.0,400.85,404.32,3014.47
2025-06-24,407.8,410.35,418.7,409.4,418.7,274621.0,237615.0,411.42,417.76,3103.64
2025-06-25,421.35,420.85,422.85,415.8,419.55,267621.0,243725.0,421.65,419.51,3108.25
2025-06-26,421.4,419.85,421.15,410.4,415.6,288264.0,244971.0,419.73,415.66,3079.56
2025-06-27,417.85,417.5,418.25,411.65,413.45,225474.0,249174.0,415.36,412.72,3055.94
2025-06-30,413.35,413.25,418.2,413.25,416.15,219827.0,250172.0,415.28,414.6,3071.7
2025-07-01,415.6,415.9,424.15,415.85,416.9,247823.0,254258.0,417.11,416.26,3089.65
2025-07-02,416.15,417.45,418.25,409.95,415.1,248099.0,256065.0,415.4,414.43,3075.06
2025-07-03,417.4,417.3,421.9,416.6,421.55,221994.0,256187.0,418.31,420.94,3116.27
2025-07-04,424.8,424.5,424.7,413.1,413.25,264894.0,253908.0,422.24,412.74,3054.28
2025-07-07,412.45,411.15,415.5,409.35,413.75,237729.0,254670.0,410.69,413.02,3059.47
2025-07-08,411.2,412.1,422.3,412.05,421.65,250921.0,259108.0,414.79,421.22,3114.95
2025-07-09,421.1,422.0,423.8,419.65,422.85,178022.0,254045.0,421.74,422.02,3133.74
2025-07-10,423.25,424.2,428.7,422.1,428.3,234113.0,253963.0,423.43,428.42,3183.23
2025-07-11,428.65,430.25,434.8,427.8,428.5,243817.0,255754.0,429.03,428.07,3175.77
2025-07-14,427.9,426.25,433.2,425.95,432.4,196409.0,255349.0,428.21,432.49,3202.03
2025-07-15,432.35,432.7,435.5,429.6,435.35,231975.0,258473.0,431.04,434.78,3215.28
2025-07-16,432.6,432.7,434.25,429.65,430.55,182547.0,259629.0,433.77,431.16,3186.38
2025-07-17,433.3,432.7,433.3,426.15,431.8,236762.0,261399.0,432.72,431.64,3192.29
2025-07-18,434.05,434.0,434.4,429.15,431.55,181292.0,261652.0,432.83,431.1,3188.07
2025-07-21,430.6,429.6,435.6,429.55,434.65,158712.0,262086.0,431.6,434.56,3210.81
2025-07-22,435.9,435.15,436.55,426.8,429.0,226732.0,261406.0,434.41,428.05,3169.94
2025-07-23,429.75,429.85,432.8,424.9,430.4,239691.0,263237.0,430.72,430.04,3183.77
2025-07-24,433.2,432.7,437.75,429.3,429.3,270014.0,265428.0,433.62,430.03,3190.45
2025-07-25,428.8,429.05,432.75,428.3,431.1,183996.0,269138.0,429.49,430.78,3196.05
2025-07-28,431.45,431.5,436.1,428.7,432.65,215714.0,268260.0,435.04,433.37,3209.52
2025-07-29,431.65,432.3,436.85,427.3,436.2,226099.0,266683.0,430.77,435.84,3230.57
2025-07-30,436.0,435.5,442.7,434.4,439.95,233546.0,262502.0,436.4,439.81,3254.47
2025-07-31,439.55,443.5,444.85,436.7,437.9,241372.0,260665.0,442.53,438.6,3245.44
2025-08-01,433.45,432.8,433.3,420.05,420.4,286721.0,266649.0,432.75,420.72,3119.41
2025-08-04,419.4,420.4,426.75,418.65,425.5,238811.0,267556.0,420.23,424.79,3147.75
2025-08-05,428.7,428.55,433.95,428.1,431.75,204067.0,264309.0,430.62,431.25,3198.0
2025-08-06,429.95,428.55,431.3,427.4,431.3,152322.0,266492.0,428.9,430.68,3198.14
2025-08-07,432.75,433.2,434.95,430.55,434.8,176095.0,265859.0,433.4,435.35,3227.68
2025-08-08,434.35,435.8,436.4,432.2,433.85,182576.0,267734.0,434.44,433.47,3210.01
2025-08-11,436.5,435.5,435.9,432.2,433.55,152814.0,269301.0,434.93,433.29,3206.77
2025-08-12,433.05,433.8,439.25,431.7,432.2,206979.0,272842.0,434.11,431.63,3189.91
2025-08-13,435.9,435.8,437.15,432.2,437.05,176018.0,272825.0,436.93,436.92,3224.37
2025-08-14,437.7,437.45,439.0,434.65,436.0,167112.0,269715.0,436.93,436.57,3225.66
2025-08-18,434.75,435.15,435.5,429.3,429.7,165913.0,274923.0,433.01,429.19,3177.28
2025-08-19,430.15,430.6,431.8,425.3,426.45,193581.0,276712.0,430.28,426.18,3151.56
2025-08-20,423.4,421.95,424.3,417.3,424.0,275769.0,279186.0,422.21,423.66,3130.09
2025-08-21,424.6,425.6,428.4,424.15,425.4,193592.0,275405.0,425.12,424.41,3141.74
2025-08-22,424.7,426.45,430.7,426.25,428.2,175045.0,276770.0,428.0,428.5,3168.73
2025-08-25,434.1,433.85,433.95,430.15,433.75,178351.0,271768.0,431.84,433.89,3209.86
2025-08-26,432.0,432.85,433.05,428.65,429.4,194913.0,268868.0,432.13,429.41,3179.36
2025-08-27,430.85,431.65,431.8,426.85,430.6,163600.0,264816.0,429.86,430.31,3187.16
2025-08-28,429.45,428.5,434.4,426.5,432.65,186854.0,265055.0,428.34,431.81,3196.32
2025-08-29,434.45,434.3,434.7,430.25,430.6,157967.0,266009.0,433.69,430.12,3186.01
2025-09-01,427.45,427.7,428.5,422.3,423.5,174390.0,272883.0,426.31,423.33,3142.93
2025-09-02,424.5,424.65,428.5,423.65,428.1,177150.0,269401.0,424.98,428.15,3172.35
2025-09-03,427.45,427.6,430.65,427.15,429.95,163472.0,268234.0,428.83,430.37,3184.42
2025-09-04,431.15,430.75,433.35,429.3,431.15,199931.0,262801.0,430.42,432.32,3200.83
